tt0109707;ed_wood;1994;7.9;2;0;3.00;0;0.00;Biography;Comedy;Drama
tt1631867;edge_of_tomorrow;2014;7.9;0;0;0.00;0;0.00;Action;Adventure;Sci-Fi
tt0087197;electric_dreams;1984;6.5;0;0;0.00;0;0.00;Comedy;Drama;Music
tt4285496;embrace_of_the_serpent;2015;7.9;0;1;1.00;0;0.00;Adventure;Drama
tt2316411;enemy;2013;6.9;0;0;0.00;0;0.00;Mystery;Thriller
tt0092991;evil_dead_ii;1987;7.8;0;0;0.00;0;0.00;Comedy;Fantasy;Horror
tt0470752;ex_machina;2015;7.7;1;1;3.25;0;0.00;Drama;Mystery;Sci-Fi
tt0089114;explorers;1985;6.6;0;0;0.00;0;0.00;Adventure;Comedy;Family
tt0083922;fanny_and_alexander;1982;8.1;4;2;10.25;0;0.00;Drama
tt3183660;fantastic_beasts_and_where_to_find_them;2016;7.7;0;0;0.00;0;0.00;Adventure;Family;Fantasy
tt0106332;farewell_my_concubine;1993;8.1;0;2;1.75;2;9.00;Drama;Music;Romance
tt0116282;fargo;1996;8.1;2;5;13.38;0;0.00;Crime;Drama;Thriller
tt1016301;fermat_s_room;2007;6.7;0;0;0.00;0;0.00;Mystery;Thriller
tt0067093;fiddler_on_the_roof;1971;8.0;3;5;9.50;0;0.00;Drama;Family;Musical
tt0097351;field_of_dreams;1989;7.5;0;3;2.75;0;0.00;Drama;Family;Fantasy
tt0137523;fight_club;1999;8.8;0;1;0.50;0;0.00;Drama
tt0181536;finding_forrester;2000;7.3;0;0;0.00;0;0.00;Drama
tt0308644;finding_neverland;2004;7.7;1;6;9.50;0;0.00;Biography;Drama;Family
tt0059578;for_a_few_dollars_more;1965;8.3;0;0;0.00;0;0.00;Western
tt0109830;forrest_gump;1994;8.8;6;7;25.88;0;0.00;Comedy;Drama
tt0106950;fortress;1992;5.9;0;0;0.00;0;0.00;Action;Crime;Sci-Fi
tt0021884;frankenstein;1931;8.0;0;0;0.00;0;0.00;Drama;Horror;Sci-Fi
tt1142977;frankenweenie;2012;7.0;0;1;0.12;0;0.00;Animation;Comedy;Family
tt0045793;from_here_to_eternity;1953;7.8;8;5;31.38;0;0.00;Drama;Romance;War
tt0870111;frost/nixon;2008;7.7;0;5;5.00;0;0.00;Biography;Drama
tt2294629;frozen;2013;7.5;2;0;9.00;1;2.00;Animation;Adventure;Comedy
tt0093058;full_metal_jacket;1987;8.3;0;1;1.25;0;0.00;Drama;War
tt0083987;gandhi;1982;8.1;8;3;25.88;2;4.00;Biography;Drama;History
tt0119177;gattaca;1997;7.8;0;1;0.12;0;0.00;Drama;Sci-Fi;Thriller
tt0104348;glengarry_glen_ross;1992;7.8;0;1;0.62;0;0.00;Crime;Drama;Mystery
tt0047034;godzilla;1954;7.5;0;0;0.00;0;0.00;Drama;Horror;Sci-Fi
tt0452623;gone_baby_gone;2007;7.7;0;1;0.62;0;0.00;Crime;Drama;Mystery
tt2267998;gone_girl;2014;8.1;0;1;1.00;0;0.00;Crime;Drama;Mystery
tt0031381;gone_with_the_wind;1939;8.2;8;5;29.50;0;0.00;Drama;History;Romance
tt0099685;goodfellas;1990;8.7;1;5;7.38;2;5.00;Biography;Crime;Drama
tt0095327;grave_of_the_fireflies;1988;8.5;0;0;0.00;0;0.00;Animation;Drama;War
tt1661382;grudge_match;2013;6.4;0;0;0.00;0;0.00;Comedy;Drama;Sport
tt2119532;hacksaw_ridge;2016;8.5;0;0;0.00;0;0.00;Drama;History;War
tt0475290;hail_caesar!;2016;6.3;0;0;0.00;0;0.00;Comedy;Mystery
tt0212985;hannibal;2001;6.8;0;0;0.00;0;0.00;Crime;Drama;Thriller
tt0113277;heat;1995;8.2;0;0;0.00;0;0.00;Action;Crime;Drama
tt1798709;her;2013;8.0;1;4;8.88;0;0.00;Drama;Romance;Sci-Fi
tt0146882;high_fidelity;2000;7.5;0;0;0.00;0;0.00;Comedy;Drama;Music
tt0044706;high_noon;1952;8.0;4;3;16.50;0;0.00;Drama;Thriller;Western
tt0082517;history_of_the_world_part_i;1981;6.9;0;0;0.00;0;0.00;Comedy
tt0425112;hot_fuzz;2007;7.9;0;0;0.00;0;0.00;Action;Comedy;Mystery
tt0395169;hotel_rwanda;2004;8.1;0;3;2.88;0;0.00;Drama;History;War
tt0347149;howl_s_moving_castle;2004;8.2;0;1;1.00;0;0.00;Animation;Adventure;Family
tt2884206;i_origins;2014;7.3;0;0;0.00;0;0.00;Drama;Romance;Sci-Fi
tt0044741;ikiru;1952;8.3;0;0;0.00;0;0.00;Drama
tt0780536;in_bruges;2008;8.0;0;1;1.25;1;3.00;Comedy;Crime;Drama
tt0107207;in_the_name_of_the_father;1993;8.1;0;7;6.50;1;8.00;Biography;Drama
tt1637688;in_time;2011;6.7;0;0;0.00;0;0.00;Action;Sci-Fi;Thriller
tt1375666;inception;2010;8.8;4;4;12.88;0;0.00;Action;Adventure;Sci-Fi
tt1628841;independence_day_resurgence;2016;5.3;0;0;0.00;0;0.00;Action;Adventure;Sci-Fi
tt0097576;indiana_jones_and_the_last_crusade;1989;8.3;1;2;2.75;0;0.00;Action;Adventure;Fantasy
tt0087469;indiana_jones_and_the_temple_of_doom;1984;7.6;1;1;2.25;0;0.00;Action;Adventure
tt0338564;infernal_affairs;2002;8.1;0;0;0.00;0;0.00;Crime;Drama;Mystery
tt2096673;inside_out;2015;8.2;1;1;5.25;1;2.00;Animation;Adventure;Comedy
tt0816692;interstellar;2014;8.6;1;4;4.38;0;0.00;Adventure;Drama;Sci-Fi
